day,time_ET,symbol,setup,grade,entry,stop,t1,rvol,off_high_pct,outcome,scaled_pnl_pct,mae_pct,mfe_pct
2026-07-08,13:38,NVVE,break_of_structure,C,10.34,9.88,11.50,123.2,-3.2,invalidated,-4.77,-4.64,5.90
2026-07-09,07:42,AEHR,break_of_structure,C,79.60,77.21,86.58,4.1,-0.3,invalidated,-3.97,-4.67,4.95
2026-07-09,09:34,CLRO,opening_drive,C,11.23,10.89,11.98,2.4,-1.7,target_hit,3.02,-1.51,8.90
2026-07-09,09:36,TDTH,opening_drive,C,2.21,2.14,2.39,16.5,-3.9,invalidated,-3.49,-4.07,0.00
2026-07-09,10:17,BJDX,opening_range_break,B,1.58,1.56,1.69,2.1,-1.9,invalidated,-1.80,-1.90,0.00
2026-07-09,10:19,SDOT,opening_range_break,B,32.56,31.15,35.42,2.3,-8.8,invalidated,-4.60,-5.50,0.00
2026-07-09,10:47,JLHL,opening_range_break,B,5.24,4.99,6.00,10.6,-4.2,target_hit,18.35,-2.86,18.70
2026-07-09,10:53,JLHL,break_of_structure,C,5.65,5.33,6.50,11.2,-4.7,target_hit,19.11,-4.42,17.88
2026-07-09,11:41,TDTH,opening_range_break,B,2.34,2.30,2.50,2.1,-1.7,invalidated,-1.91,-2.56,0.00
2026-07-09,11:42,CLRO,break_of_structure,C,12.00,11.75,13.24,0.5,-3.1,invalidated,-2.39,-2.58,0.33
2026-07-09,12:09,AEHR,break_of_structure,C,77.47,76.31,80.00,2.0,-2.3,invalidated,-1.80,-1.64,0.10
2026-07-13,09:32,ONCY,opening_drive,B,0.97,0.96,1.02,20.0,-0.9,target_hit,2.04,0.00,4.69
2026-07-13,09:44,ELPW,break_of_structure,B,16.08,15.62,17.17,27.6,-1.9,invalidated,-3.19,-4.87,1.82
2026-07-13,09:47,AGEN,opening_range_break,B,5.98,5.72,6.64,48.1,-0.3,target_hit,13.71,-0.50,13.21
2026-07-13,09:59,MIMI,opening_range_break,B,3.31,3.19,3.58,10.9,-4.1,invalidated,-3.90,-3.93,2.42
2026-07-13,10:00,AGEN,hod_break,C,7.00,6.40,8.50,48.9,-0.1,target_hit,10.38,-4.43,23.57
2026-07-13,10:01,QTTB,vwap_bounce,B+,18.94,18.30,20.50,117.0,-4.1,invalidated,-3.68,-3.48,0.58
2026-07-13,10:02,SKYQ,opening_range_break,B,4.22,4.10,4.48,2.9,-2.8,invalidated,-3.10,-3.79,1.66
2026-07-13,10:02,LUCY,opening_range_break,C,1.09,1.07,1.15,0.2,0.0,invalidated,-1.80,-3.67,0.00
2026-07-13,10:08,BATL,opening_range_break,B,1.76,1.73,1.83,2.3,-1.1,invalidated,-1.80,-1.70,0.00
2026-07-13,10:09,EHGO,opening_range_break,B,2.22,2.15,2.49,1.3,-2.6,invalidated,-3.28,-3.60,0.45
2026-07-13,10:46,TROO,hod_break,C,2.60,2.48,3.00,1.4,0.0,invalidated,-4.93,-5.77,0.00
2026-07-13,10:50,NVVE,opening_range_break,C,14.15,13.90,15.00,0.4,-2.1,invalidated,-2.07,-2.47,0.00
2026-07-13,12:16,BATL,opening_range_break,C,1.84,1.81,1.91,1.4,-3.7,invalidated,-1.80,-7.61,2.72
2026-07-13,12:28,GFUZ,opening_range_break,C,13.27,12.93,14.00,4.4,-3.0,invalidated,-2.88,-6.48,1.73
2026-07-13,12:57,NVVE,break_of_structure,C,16.64,16.30,17.38,0.4,-4.6,invalidated,-2.34,-6.07,2.52
2026-07-13,13:00,ELPW,opening_range_break,C,16.97,16.53,18.08,5.3,-15.4,invalidated,-2.91,-3.21,2.57
2026-07-13,13:06,QTTB,opening_range_break,C,20.29,19.97,21.19,21.0,-9.8,target_hit,1.91,-0.44,4.58
2026-07-14,04:11,TSEM,hod_break,C,268.80,260.74,291.44,,0.0,invalidated,-3.97,-3.05,3.42
2026-07-14,08:51,FCEL,hod_break,B,21.01,20.38,22.50,1.6,0.0,target_hit,6.80,-2.09,7.85
2026-07-14,09:50,VEEE,break_of_structure,B+,23.80,22.35,28.68,7.6,-2.8,target_hit,19.95,-5.46,22.56
2026-07-14,09:55,OTLK,hod_break,B,1.82,1.76,,2.3,0.0,invalidated,-3.44,-3.30,0.00
2026-07-14,09:58,YYGH,opening_range_break,B,1.38,1.35,1.49,4.0,0.0,invalidated,-2.51,-2.90,0.72
2026-07-14,10:00,GALT,opening_range_break,B+,5.06,4.98,5.37,2.1,-0.8,target_hit,7.09,0.00,7.31
2026-07-14,10:01,KOS,hod_break,C,2.52,2.44,,1.9,-0.4,expired,-1.49,-1.59,3.57
2026-07-14,10:02,VEEE,opening_range_break,B,26.16,24.43,30.32,7.1,-6.5,target_hit,19.99,-1.76,19.88
2026-07-14,10:11,PMVP,opening_range_break,C,1.42,1.40,1.48,7.1,-0.7,invalidated,-1.80,-2.82,0.00
2026-07-14,10:27,GALT,break_of_structure,B,5.35,5.27,5.57,2.8,-1.5,invalidated,-1.87,-1.87,0.56
2026-07-14,10:34,KOS,hod_break,C,2.60,2.53,,1.9,-0.4,invalidated,-2.95,-2.69,0.00
2026-07-14,11:00,WXM,opening_range_break,B,3.50,3.42,3.67,3.7,-1.4,invalidated,-2.52,-4.00,2.57
2026-07-14,11:07,HODO,break_of_structure,C,1.47,1.44,,4.6,-2.0,invalidated,-2.61,-2.72,4.76
2026-07-14,13:07,VTAK,break_of_structure,C,0.69,0.68,0.74,0.3,-0.1,invalidated,-1.80,-1.67,0.00
2026-07-15,05:44,PYPL,hod_break,C,55.60,53.93,,35.3,-0.2,invalidated,-3.97,-3.63,3.85
2026-07-15,06:33,PYPL,hod_break,C,56.51,54.81,,31.2,-0.0,invalidated,-3.97,-3.29,2.18
2026-07-15,09:33,LCID,opening_drive,C,4.94,4.87,5.54,2.7,-1.2,target_hit,14.00,-0.20,12.15
